Config,m0Size,m095L,m0MMU,m0RPS,m5Size,m595L,m5MMU,m5RPS,m10Size,m1095L,m10MMU,m10RPS,m20Size,m2095L,m20MMU,m20RPS
1,1151.64,1753.83,259.92,751.63,1147.09,2073.63,305.97,652.84,1081.13,2177.41,323.67,548.92,875.78,3265.51,376.58,336.83
2,1322.59,1719.48,281.65,1019.66,1303.51,1943.28,298.89,883.11,1233.17,2026.92,324,751.68,1014.62,3066.9,375.71,486.04
4,1509.94,1566.28,295.43,1346.85,1493.84,1708.43,294.87,1185.5,1405.68,1787.65,324.6,1001.53,1150.07,2818.19,378.91,669.31
8,1717.55,1130.71,301.72,1793.46,1733.89,1220.61,297.01,1557.22,1626.44,1296.52,323.35,1322.93,1364.46,2327.08,373.11,889.82
