Config,m0Size,m095L,m0MMU,m0RPS,m5Size,m595L,m5MMU,m5RPS,m10Size,m1095L,m10MMU,m10RPS,m20Size,m2095L,m20MMU,m20RPS
1,1154.26,1602.02,281.31,994.72,1133.11,1927.71,300.2,907.74,1104.95,2022.43,327.02,815.19,910.59,3127.44,373.96,579.06
2,1299.97,1397.21,281.86,1331.4,1289.98,1621.83,297.06,1186.37,1251.04,1709.03,323.67,1056.84,1032.29,2776.44,373.85,787.16
4,1522.71,1247.17,261.87,1726.36,1491.2,1388.48,298.4,1587.34,1428.79,1469.11,319.07,1409.28,1181.69,2516.01,373.39,1047.05
8,1735.57,810.94,290.92,2308.59,1724.83,901.71,299.67,2068.5,1641.21,975.06,329.98,1822.29,1354.29,2022.25,376.94,1402.84
