Config,m0Size,m095L,m0MMU,m0RPS,m5Size,m595L,m5MMU,m5RPS,m10Size,m1095L,m10MMU,m10RPS,m20Size,m2095L,m20MMU,m20RPS
1,1159.11,1700.71,229.87,797.82,1125.34,2022.18,252.1,711.87,1093.77,2121.72,275.63,600.69,892.33,3189.58,323.98,403.69
2,1315.86,1696.63,235.48,1140.65,1284.49,1919.81,248.56,997.66,1244.21,2011.47,275.11,836,1023.26,3073.34,324.99,572.13
4,1490.35,1544.71,214.8,1405.96,1505.07,1688.2,242.22,1216.85,1412.37,1765.89,267.05,1030.86,1180.42,2853.77,325.64,691.97
8,1745.66,1111.7,243.25,1852.24,1714.52,1200.08,245.82,1613.65,1644.82,1276.48,275.02,1385.64,1345.17,2314.45,328.92,942.72
